Element Count, Selection Sort - Descending
10, 316
11, 287
12, 387
13, 358
14, 454
15, 525
16, 600
17, 674
18, 741
19, 791
20, 858
21, 992
22, 1029
23, 1150
24, 1258
25, 1304
26, 1437
27, 1541
28, 1658
29, 1837
30, 2029
31, 1983
32, 2233
33, 2379
34, 2487
35, 2591
36, 2729
37, 2783
38, 2937
39, 3125
40, 3221
41, 3324
42, 3891
43, 4079
44, 4383
45, 4254
46, 4487
47, 4425
48, 4570
49, 4824
50, 5487
51, 5570
52, 5971
53, 5637
54, 5579
55, 5937
56, 6054
57, 6849
58, 6658
59, 6899
60, 6895
61, 7304
62, 7379
63, 7587
64, 7812
65, 7987
66, 8350
67, 8662
68, 8374
69, 8987
70, 9337
71, 9454
72, 10004
73, 9916
74, 10400
75, 10450
76, 10887
77, 11012
78, 11808
79, 11320
80, 12058
81, 11712
82, 12225
83, 13420
84, 12570
85, 13179
86, 14074
87, 13491
88, 14541
89, 14350
90, 14592
91, 15304
92, 16358
93, 15783
94, 15975
95, 16379
96, 16391
97, 17004
98, 17445
99, 16658
100, 18437
101, 18483
102, 18683
103, 19541
104, 20333
105, 20116
106, 20095
107, 21079
108, 21641
109, 21262
110, 21679
111, 22070
112, 22475
113, 23104
114, 22441
115, 23054
116, 23158
117, 23912
118, 25658
119, 24437
120, 25133
121, 25466
122, 26387
123, 29970
124, 26945
125, 27887
126, 27791
127, 29129
128, 29508
129, 29508
130, 30108
131, 30304
132, 30079
133, 30654
134, 31320
135, 33124
136, 32587
137, 33104
138, 35066
139, 33766
140, 34937
141, 34541
142, 36741
143, 35704
144, 35058
145, 37808
146, 38479
147, 36995
148, 36666
149, 39474
150, 39487
151, 39562
152, 39762
153, 39025
154, 40450
155, 41483
156, 43029
157, 42787
158, 42558
159, 46316
160, 50424
161, 44641
162, 45591
163, 47670
164, 46329
165, 47120
166, 46295
167, 48783
168, 48816
169, 49924
170, 49879
171, 51629
172, 50483
173, 51783
174, 51754
175, 54658
176, 56350
177, 54091
178, 56112
179, 54150
180, 56187
181, 57183
182, 55675
183, 57079
184, 58779
185, 61829
186, 60633
187, 58904
188, 62395
189, 63054
190, 63625
191, 61466
192, 63425
193, 62891
194, 65137
195, 67058
196, 67058
197, 67046
198, 69795
199, 66995
200, 71921
201, 69745
202, 70529
203, 71658
204, 72199
205, 71458
206, 69674
207, 77554
208, 75870
209, 74808
210, 75945
211, 77199
212, 75841
213, 79262
214, 79258
215, 81416
216, 78333
217, 81250
218, 80762
219, 81591
220, 82212
221, 87796
222, 84483
223, 89433
224, 83320
225, 81641
226, 87525
227, 87537
228, 90012
229, 90454
230, 94020
231, 90679
232, 92712
233, 95391
234, 93212
235, 93766
236, 94433
237, 96866
238, 96471
239, 101945
240, 100058
241, 102746
242, 101866
243, 104787
244, 96608
245, 102991
246, 104908
247, 105866
248, 106479
249, 106554
250, 108458
251, 109862
252, 108395
253, 114191
254, 108683
255, 112979
256, 111179
257, 115274
258, 114583
259, 116583
260, 117687
261, 116287
262, 123445
263, 121854
264, 122133
265, 117833
266, 119749
267, 124604
268, 126004
269, 127137
270, 128191
271, 129554
272, 129254
273, 128504
274, 132225
275, 133758
276, 130212
277, 137566
278, 134162
279, 132204
280, 134104
281, 134345
282, 137112
283, 137958
284, 137254
285, 135933
286, 140408
287, 144145
288, 147474
289, 140850
290, 156304
291, 141833
292, 144354
293, 146029
294, 152154
295, 158291
296, 147479
297, 153991
298, 154908
299, 161137
300, 167546
301, 165287
302, 161220
303, 161445
304, 165466
305, 164512
306, 177866
307, 171962
308, 171258
309, 171387
310, 174400
311, 173283
312, 174029
313, 179029
314, 184521
315, 174175
316, 177337
317, 172208
318, 183416
319, 182171
320, 177229
321, 187654
322, 183629
323, 189966
324, 189696
325, 193933
326, 189612
327, 195320
328, 198171
329, 197454
330, 190491
331, 193504
332, 188941
333, 195779
334, 193837
335, 202145
336, 197066
337, 195600
338, 191683
339, 195804
340, 197549
341, 199429
342, 209654
343, 202441
344, 205908
345, 203612
346, 209595
347, 201645
348, 210549
349, 219175
350, 218562
351, 217620
352, 218091
353, 210375
354, 218208
355, 216283
356, 227516
357, 209662
358, 221749
359, 227916
360, 225354
361, 231200
362, 232341
363, 231454
364, 232758
365, 232212
366, 224333
367, 228179
368, 234866
369, 228762
370, 243354
371, 231620
372, 239162
373, 242549
374, 243512
375, 240466
376, 231854
377, 246212
378, 250512
379, 250762
380, 246883
381, 251020
382, 252000
383, 255637
384, 261362
385, 259804
386, 260708
387, 257579
388, 257574
389, 266770
390, 269066
391, 271641
392, 277075
393, 265112
394, 269983
395, 269091
396, 277133
397, 273991
398, 282912
399, 275037
400, 275108
401, 281045
402, 278891
403, 280204
404, 284204
405, 271808
406, 301912
407, 282737
408, 291070
409, 285970
410, 287566
411, 290512
412, 296087
413, 291008
414, 296662
415, 300499
416, 300583
417, 302987
418, 310991
419, 312941
420, 306158
421, 310229
422, 311212
423, 312291
424, 305925
425, 323641
426, 310662
427, 312300
428, 315133
429, 318846
430, 315879
431, 315987
432, 323799
433, 328345
434, 321566
435, 330371
436, 325504
437, 335145
438, 334125
439, 334858
440, 337062
441, 325070
442, 338645
443, 337066
444, 339133
445, 346254
446, 345870
447, 347254
448, 339416
449, 355983
450, 355125
451, 361612
452, 362254
453, 348808
454, 347383
455, 370004
456, 348900
457, 368712
458, 360562
459, 361450
460, 366675
461, 373183
462, 380704
463, 378050
464, 361383
465, 382383
466, 376941
467, 382800
468, 378779
469, 380479
470, 385200
471, 392650
472, 379916
473, 387958
474, 387766
475, 390008
476, 401012
477, 408862
478, 398016
479, 414250
480, 404583
481, 400958
482, 402896
483, 414612
484, 405179
485, 422658
486, 408004
487, 413883
488, 437708
489, 413112
490, 430225
491, 415158
492, 431145
493, 425120
494, 424979
495, 427608
496, 445941
497, 425495
498, 422591
499, 439791
500, 441687
501, 441937
502, 447167
503, 454450
504, 436779
505, 444583
506, 452445
507, 450366
508, 454358
509, 457637
510, 464679
511, 459683
512, 461629
513, 459550
514, 462637
515, 472004
516, 453999
517, 476583
518, 467291
519, 468695
520, 478954
521, 489437
522, 485295
523, 485971
524, 475916
525, 472800
526, 490012
527, 479445
528, 487666
529, 504587
530, 485504
531, 500379
532, 507695
533, 505241
534, 501533
535, 480158
536, 507041
537, 506833
538, 490370
539, 510491
540, 515908
541, 499358
542, 520737
543, 517387
544, 508083
545, 516375
546, 530349
547, 530616
548, 540508
549, 519699
550, 524458
551, 521983
552, 523745
553, 545954
554, 534520
555, 538150
556, 548816
557, 558108
558, 540037
559, 550033
560, 536770
561, 547633
562, 574500
563, 554870
564, 546824
565, 565358
566, 564608
567, 563670
568, 574866
569, 568787
570, 564953
571, 563150
572, 575195
573, 572291
574, 569529
575, 568949
576, 580562
577, 583883
578, 569991
579, 580912
580, 580695
581, 599770
582, 595995
583, 602908
584, 609041
585, 590533
586, 609366
587, 612812
588, 605245
589, 606791
590, 610170
591, 622016
592, 604733
593, 612862
594, 622033
595, 627129
596, 631866
597, 636558
598, 636975
599, 640333
600, 636195
601, 629325
602, 653087
603, 651804
604, 643037
605, 652200
606, 650075
607, 664762
608, 638883
609, 658149
610, 673616
611, 665091
612, 664562
613, 668100
614, 665600
615, 700237
616, 667470
617, 674837
618, 666300
619, 673562
620, 681745
621, 666154
622, 677420
623, 676579
624, 698775
625, 674491
626, 690521
627, 714645
628, 707587
629, 699341
630, 684549
631, 709820
632, 696850
633, 711320
634, 700437
635, 694945
636, 731754
637, 715004
638, 693112
639, 709758
640, 728525
641, 728379
642, 716420
643, 728841
644, 724916
645, 744495
646, 740804
647, 747254
648, 736704
649, 751662
650, 750104
651, 767145
652, 782925
653, 745683
654, 772808
655, 771670
656, 755933
657, 771941
658, 782424
659, 779433
660, 764620
661, 763287
662, 792562
663, 790020
664, 787904
665, 827379
666, 864900
667, 831620
668, 819645
669, 812850
670, 785812
671, 813070
672, 820537
673, 798212
674, 828562
675, 819491
676, 818321
677, 828545
678, 802945
679, 824220
680, 814554
681, 806537
682, 817666
683, 832091
684, 807108
685, 809920
686, 838708
687, 830791
688, 842178
689, 822779
690, 838258
691, 822908
692, 855575
693, 860291
694, 835195
695, 880329
696, 857366
697, 862575
698, 863804
699, 863074
700, 902654
701, 880925
702, 881974
703, 868883
704, 884420
705, 874637
706, 896141
707, 877895
708, 871721
709, 901570
710, 905270
711, 905487
712, 907679
713, 918896
714, 933783
715, 909895
716, 931983
717, 925300
718, 929371
719, 928525
720, 917920
721, 938974
722, 922587
723, 920687
724, 915220
725, 933966
726, 966508
727, 946133
728, 944446
729, 936475
730, 956695
731, 954466
732, 956608
733, 996525
734, 952770
735, 948487
736, 981499
737, 974833
738, 976825
739, 970487
740, 989791
741, 992746
742, 986858
743, 987366
744, 981241
745, 998604
746, 1005187
747, 993312
748, 986745
749, 1025050
750, 1020724
751, 988949
752, 997750
753, 1017658
754, 1016799
755, 1025366
756, 1021275
757, 1036262
758, 1029479
759, 1019512
760, 1015058
761, 1006533
762, 1007912
763, 1030062
764, 1032187
765, 1056087
766, 1054258
767, 1049208
768, 1020116
769, 1062787
770, 1053225
771, 1091895
772, 1025687
773, 1075612
774, 1086854
775, 1040296
776, 1080270
777, 1096983
778, 1091346
779, 1050395
780, 1078112
781, 1105116
782, 1083741
783, 1106771
784, 1108799
785, 1083121
786, 1104675
787, 1204008
788, 1184541
789, 1191616
790, 1209562
791, 1223954
792, 1190058
793, 1221029
794, 1228887
795, 1219012
796, 1224491
797, 1262816
798, 1250066
799, 1258258
800, 1377166
801, 1167346
802, 1152012
803, 1176258
804, 1190408
805, 1235079
806, 1221400
807, 1233258
808, 1261653
809, 1229625
810, 1247775
811, 1237820
812, 1233675
813, 1259420
814, 1273850
815, 1246250
816, 1185808
817, 1178016
818, 1194841
819, 1206012
820, 1202229
821, 1191745
822, 1185883
823, 1222199
824, 1214858
825, 1166783
826, 1216412
827, 1203487
828, 1230933
829, 1205195
830, 1227162
831, 1241087
832, 1236850
833, 1217970
834, 1238037
835, 1251879
836, 1235770
837, 1257191
838, 1247816
839, 1246033
840, 1276925
841, 1246483
842, 1257579
843, 1250783
844, 1255875
845, 1276204
846, 1282329
847, 1305220
848, 1296108
849, 1311633
850, 1296283
851, 1289145
852, 1287104
853, 1310271
854, 1291791
855, 1314246
856, 1316328
857, 1306262
858, 1347754
859, 1308995
860, 1315683
861, 1340187
862, 1349595
863, 1358695
864, 1378708
865, 1363058
866, 1327012
867, 1373204
868, 1369183
869, 1364758
870, 1361720
871, 1358245
872, 1397024
873, 1361437
874, 1404354
875, 1377600
876, 1397045
877, 1361083
878, 1396416
879, 1380904
880, 1394933
881, 1397221
882, 1390154
883, 1399841
884, 1371299
885, 1417708
886, 1453570
887, 1410958
888, 1463250
889, 1433708
890, 1410250
891, 1386354
892, 1440291
893, 1387504
894, 1450633
895, 1432433
896, 1378487
897, 1414687
898, 1425058
899, 1419495
900, 1432720
901, 1431383
902, 1466991
903, 1462850
904, 1459720
905, 1501479
906, 1518571
907, 1476521
908, 1498295
909, 1488754
910, 1468287
911, 1483966
912, 1492462
913, 1478758
914, 1523808
915, 1512879
916, 1516591
917, 1490004
918, 1492062
919, 1481254
920, 1487787
921, 1508233
922, 1503287
923, 1559066
924, 1519391
925, 1523571
926, 1522516
927, 1521825
928, 1552137
929, 1528166
930, 1563854
931, 1573141
932, 1521950
933, 1557816
934, 1555970
935, 1543374
936, 1563391
937, 1571849
938, 1570620
939, 1603562
940, 1602266
941, 1549408
942, 1578737
943, 1599729
944, 1618191
945, 1564045
946, 1602804
947, 1608508
948, 1643858
949, 1617237
950, 1615533
951, 1619104
952, 1618687
953, 1624275
954, 1638070
955, 1640754
956, 1662229
957, 1649787
958, 1665479
959, 1693154
960, 1636087
961, 1643437
962, 1666904
963, 1643404
964, 1672487
965, 1680412
966, 1655958
967, 1660970
968, 1651429
969, 1684116
970, 1646791
971, 1656745
972, 1633583
973, 1694516
974, 1713604
975, 1692483
976, 1747612
977, 1726379
978, 1719470
979, 1739179
980, 1758379
981, 1731008
982, 1752991
983, 1778841
984, 1745020
985, 1751783
986, 1773474
987, 1740058
988, 1721112
989, 1727904
990, 1766662
991, 1752612
992, 1751575
993, 1759875
994, 1743074
995, 1788262
996, 1791754
997, 1767570
998, 1850208
999, 1757516
